	DGRP-551_1d_WholeBrain_Unstranded_RNA-seq	DGRP-551_1d_WholeBrain_Stranded_RNA-seq	w1118_1d_WholeBrain_Unstranded_RNA-seq	w1118_1d_WholeBrain_Stranded_RNA-seq	DGRP-551_1d_WholeBrainNuclei_Unstranded_Rep1_RNA-seq	DGRP-551_1d_WholeBrainNuclei_Unstranded_Rep2_RNA-seq
elav	2887.178375950731	2966.1822381454554	1675.469838611123	1814.1928588097994	3147.019477659196	1955.4260254134329
MED9	0.0	0.0	0.0	0.0	0.0	0.0
mRpS23	54.12078822554928	45.79012031442384	26.3557053264671	49.97359293883421	40.27845744393717	64.85602730792104
CG42523	0.0	0.0	0.0	1.5143513011767942	0.0	0.0
CG42524	11.04505882154067	12.719477865117733	11.295302282771614	10.600459108237558	29.678863379743177	145.8420510447551
CG42525	0.0	0.0	1.8825503804619357	0.0	0.0	0.3360415922690209
CG42526	6.2588666655397125	2.543895573023547	11.295302282771614	6.057405204707177	10.599594064193992	0.6720831845380418
CG42529	0.0	0.0	0.0	0.0	0.0	0.0
CR42530	0.0	0.0	1.8825503804619357	0.0	0.0	0.3360415922690209
CG42531	0.0	0.0	0.0	0.0	0.0	0.0
CR42532	0.0	0.0	0.0	0.0	0.0	0.0
Ziz	1447.6390428765972	1406.7742518820214	1315.902715942893	1375.030981468529	1211.5336015373732	658.9775624395501
CG42534	22.09011764308134	10.175582292094187	16.942953424157423	28.77267472235909	9.539634657774593	14.4497884675679
qvr	9389.404504191723	10819.187872069144	7042.620973308101	8133.580838620561	13728.594231944058	7833.801598975416
dl	96.09201174740383	109.38750964001251	103.54027092540646	62.088403348248555	74.19715844935794	137.44101123802957
eIF4G2	1475.2516899304487	1157.4724857257138	1261.3087549094969	1175.1366097131922	1154.2957935907257	1434.8975989887194
Diap1	1458.315933070753	1465.2838500615628	1184.1241893105575	1110.0195037625901	917.9248459591997	903.2798000191283
gammaTub23C	308.1571411209847	231.49449714514276	263.557053264671	239.26750558593346	253.33029813423641	260.4322340084912
Antp	11.781396076310047	5.087791146047094	11.295302282771614	9.086107807060765	30.738822786162576	52.422488393967264
CG42535	0.0	0.0	0.0	0.0	1.0599594064193991	0.0
CG42536	0.0	0.0	0.0	0.0	0.0	0.0
CG42537	0.0	0.0	0.0	0.0	0.0	0.0
CG42538	0.0	0.0	0.0	0.0	0.0	0.0
Rrp40	13.622239213233492	22.89506015721192	3.7651007609238714	10.600459108237558	9.539634657774593	4.368540699497272
serp	15.831250977541627	7.631686719070641	28.238255706929035	33.31572862588947	3.179878219258198	42.67728221816566
l(3)76BDm	407.9308391422354	340.8820067851553	380.275176853311	352.84385317419304	396.4248180008553	270.17744018429283
CG42540	6764.36219093889	6708.252626063093	6314.073976069332	6373.904626653127	9411.379569597846	9582.226003551132
CG42541	1957.5525918043913	1765.4635276783415	2739.1108035721163	2695.5453160946936	3276.334525242363	3002.867668515971
CG42542	345.34217248683825	440.09393413307356	276.73490592790455	402.81744611302724	574.4979982793144	824.9821090204464
Mp	2102.242862366574	1857.043768307189	2370.130929001577	2135.2353346592795	4474.088654496284	3563.049002828429
CG42544	1.104505882154067	0.0	1.8825503804619357	6.057405204707177	0.0	1.6802079613451046
CR42545	0.0	0.0	0.0	0.0	0.0	1.3441663690760837
CR42546	0.0	0.0	0.0	0.0	0.0	0.0
CR42547	18.40843136923445	15.263373438141281	22.590604565543227	19.68656691529832	44.518295069614766	83.67435647498621
CR42548	0.0	0.0	0.0	0.0	0.0	1.3441663690760837
CR42549	215.37864702004305	208.59943698793083	180.72483652434582	180.2078048400385	262.869932792011	150.21059174425235
CG3281	74.73823135909187	96.66803177489477	82.83221674032518	107.51894238355239	96.45630598416533	72.92102552237755
CG12213	812.5481606380085	663.9567445591457	935.6275390895821	829.8645130448832	928.5244400233937	709.7198428721722
GC1	490.40061167640573	419.74276954888524	448.0469905499407	477.02065987069017	231.07115059942902	255.0555685321869
Tango9	362.64609797391864	513.8669057507565	327.56376620037685	467.9345520636294	647.6351973222529	781.9687852100117
