Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV,,Conductivity,,Gradient Concentration,,System Flow,,Pressure,,Fraction,,Injection,,Run Log,,
ml,mAU,ml,mS/cm,ml,%B,ml,ml/min,ml,MPa,ml,Fraction,ml,Injection,ml,Logbook,
1.553,347.4403,1.553,0.27,1.553,0,1.553,1,1.553,0,,,,,,,
1.56,347.51,1.56,0.27,1.56,0,1.56,1,1.56,0,,,,,,,
1.567,347.5283,1.567,0.27,1.567,0,1.567,1,1.567,0,,,,,,,
1.574,347.59,1.574,0.27,1.574,0,1.574,1,1.574,0,,,,,,,
1.581,347.6296,1.581,0.27,1.581,0,1.581,1,1.581,0,,,,,,,
1.588,347.68,1.588,0.27,1.588,0,1.588,1,1.588,0,,,,,,,
1.595,347.746,1.595,0.27,1.595,0,1.595,1,1.595,0,,,,,,,
1.602,347.77,1.602,0.27,1.602,0,1.602,1,1.602,0,,,,,,,
1.609,347.8549,1.609,0.27,1.609,0,1.609,1,1.609,0,,,,,,,
1.616,347.87,1.616,0.27,1.616,0,1.616,1,1.616,0,,,,,,,
1.623,347.9693,1.623,0.27,1.623,0,1.623,1,1.623,0,,,,,,,
1.63,347.973,1.63,0.27,1.63,0,1.63,1,1.63,0,,,,,,,
1.637,348.05,1.637,0.27,1.637,0,1.637,1,1.637,0,,,,,,,
1.644,348.0726,1.644,0.27,1.644,0,1.644,1,1.644,0,,,,,,,
1.651,348.17,1.651,0.27,1.651,0,1.651,1,1.651,0,,,,,,,
1.658,348.2186,1.658,0.27,1.658,0,1.658,1,1.658,0,,,,,,,
1.665,348.29,1.665,0.27,1.665,0,1.665,1,1.665,0,,,,,,,
1.672,348.3701,1.672,0.27,1.672,0,1.672,1,1.672,0,,,,,,,
1.679,348.41,1.679,0.27,1.679,0,1.679,1,1.679,0.007649369,,,,,,,
1.686,348.5114,1.686,0.27,1.686,0,1.686,1,1.686,0.01,,,,,,,
1.693,348.52,1.693,0.27,1.693,0,1.693,1,1.693,0.01,,,,,,,
1.7,348.64,1.7,0.27,1.7,0,1.7,1,1.7,0.01,,,,,,,
1.707,348.6501,1.707,0.27,1.707,0,1.707,1,1.707,0.01,,,,,,,
1.714,348.77,1.714,0.27,1.714,0,1.714,1,1.714,0.01,,,,,,,
1.721,348.8017,1.721,0.27,1.721,0,1.721,1,1.721,0.01,,,,,,,
1.728,348.9,1.728,0.27,1.728,0,1.728,1,1.728,0.01,,,,,,,
1.735,348.9448,1.735,0.27,1.735,0,1.735,1,1.735,0.01,,,,,,,
1.742,349.03,1.742,0.27,1.742,0,1.742,1,1.742,0.01,,,,,,,
1.749,349.1171,1.749,0.27,1.749,0,1.749,1,1.749,0.01,,,,,,,
1.756,349.16,1.756,0.27,1.756,0,1.756,1,1.756,0.01,,,,,,,
1.763,349.2662,1.763,0.27,1.763,0,1.763,1,1.763,0.0005389394,,,,,,,
1.77,349.2914,1.77,0.27,1.77,0,1.77,1,1.77,0,,,,,,,
1.777,349.4,1.777,0.27,1.777,0,1.777,1,1.777,0,,,,,,,
1.784,349.4146,1.784,0.27,1.784,0,1.784,1,1.784,0,,,,,,,
1.791,349.51,1.791,0.27,1.791,0,1.791,1,1.791,0,,,,,,,
1.798,349.5363,1.798,0.27,1.798,0,1.798,1,1.798,0,,,,,,,
1.805,349.62,1.805,0.27,1.805,0,1.805,1,1.805,0,,,,,,,
1.812,349.664,1.812,0.27,1.812,0,1.812,1,1.812,0,,,,,,,
1.819,349.72,1.819,0.27,1.819,0,1.819,1,1.819,0,,,,,,,
1.826,349.7688,1.826,0.27,1.826,0,1.826,1,1.826,0,,,,,,,
1.833,349.82,1.833,0.27,1.833,0,1.833,1,1.833,0,,,,,,,
1.84,349.9003,1.84,0.27,1.84,0,1.84,1,1.84,0,,,,,,,
1.847,349.9231,1.847,0.27,1.847,0,1.847,1,1.847,0,,,,,,,
1.854,350.0022,1.854,0.27,1.854,0,1.854,1,1.854,0,,,,,,,
1.861,350.0194,1.861,0.27,1.861,0,1.861,1,1.861,0,,,,,,,
1.868,350.09,1.868,0.27,1.868,0,1.868,1,1.868,0,,,,,,,
1.875,350.1052,1.875,0.27,1.875,0,1.875,1,1.875,0,,,,,,,
1.882,350.16,1.882,0.27,1.882,0,1.882,1,1.882,0,,,,,,,
1.889,350.188,1.889,0.27,1.889,0,1.889,1,1.889,0,,,,,,,
1.896,350.23,1.896,0.27,1.896,0,1.896,1,1.896,0,,,,,,,
1.903,350.2663,1.903,0.27,1.903,0,1.903,1,1.903,0,,,,,,,
1.91,350.29,1.91,0.27,1.91,0,1.91,1,1.91,0,,,,,,,
1.917,350.3317,1.917,0.27,1.917,0,1.917,1,1.917,0,,,,,,,
1.924,350.35,1.924,0.27,1.924,0,1.924,1,1.924,0,,,,,,,
1.931,350.38,1.931,0.27,1.931,0,1.931,1,1.931,0,,,,,,,
